,date,season,year,month,holiday,day_of_the_week,workingday,weather,temp,feel_temp,humidity,wind_speed,casual,registered,count_rental
0,2011-01-01,Spring,2011,Januari,0,Sabtu,Workday,Cloudy_Misty,14.110847,14.908624999999999,80.58330000000001,0.160446,331,654,985
1,2011-01-02,Spring,2011,Januari,0,Minggu,Workday,Cloudy_Misty,14.902598000000001,14.503299000000002,69.6087,0.248539,131,670,801
2,2011-01-03,Spring,2011,Januari,0,Senin,Holiday,Clear,8.050924,7.765605,43.7273,0.248309,120,1229,1349
3,2011-01-04,Spring,2011,Januari,0,Selasa,Holiday,Clear,8.200000000000001,8.697002,59.0435,0.160296,108,1454,1562
4,2011-01-05,Spring,2011,Januari,0,Rabu,Holiday,Clear,9.305237,9.40007,43.695699999999995,0.1869,82,1518,1600
5,2011-01-06,Spring,2011,Januari,0,Kamis,Holiday,Clear,8.378268,9.561569,51.8261,0.0895652,88,1518,1606
6,2011-01-07,Spring,2011,Januari,0,Jumat,Holiday,Cloudy_Misty,8.057402,8.562399,49.8696,0.168726,148,1362,1510
7,2011-01-08,Spring,2011,Januari,0,Sabtu,Workday,Cloudy_Misty,6.765000000000001,6.652414,53.5833,0.266804,68,891,959
8,2011-01-09,Spring,2011,Januari,0,Minggu,Workday,Clear,5.671653,4.763175,43.416700000000006,0.36195,54,768,822
9,2011-01-10,Spring,2011,Januari,0,Senin,Holiday,Clear,6.184153,6.186408,48.2917,0.223267,41,1280,1321
10,2011-01-11,Spring,2011,Januari,0,Selasa,Holiday,Cloudy_Misty,6.9327309999999995,7.8500239999999994,68.6364,0.122132,43,1220,1263
11,2011-01-12,Spring,2011,Januari,0,Rabu,Holiday,Clear,7.0818069999999995,6.5793930000000005,59.954499999999996,0.304627,25,1137,1162
12,2011-01-13,Spring,2011,Januari,0,Kamis,Holiday,Clear,6.765000000000001,6.186203,47.0417,0.301,38,1368,1406
13,2011-01-14,Spring,2011,Januari,0,Jumat,Holiday,Clear,6.59567,7.724933,53.7826,0.126548,54,1367,1421
14,2011-01-15,Spring,2011,Januari,0,Sabtu,Workday,Cloudy_Misty,9.566653,10.172592,49.875,0.157963,222,1026,1248
15,2011-01-16,Spring,2011,Januari,0,Minggu,Workday,Clear,9.498347,9.602897,48.375,0.188433,251,953,1204
16,2011-01-17,Spring,2011,Januari,1,Senin,Workday,Cloudy_Misty,7.209153,7.247611000000001,53.75,0.194017,117,883,1000
17,2011-01-18,Spring,2011,Januari,0,Selasa,Holiday,Cloudy_Misty,8.883347,9.525653,86.16669999999999,0.146775,9,674,683
18,2011-01-19,Spring,2011,Januari,0,Rabu,Holiday,Cloudy_Misty,11.979134,12.235302,74.1739,0.208317,78,1572,1650
19,2011-01-20,Spring,2011,Januari,0,Kamis,Holiday,Cloudy_Misty,10.728347,10.45705,53.833299999999994,0.195904,83,1844,1927
20,2011-01-21,Spring,2011,Januari,0,Jumat,Holiday,Clear,7.2775,6.471153,45.7083,0.353242,75,1468,1543
21,2011-01-22,Spring,2011,Januari,0,Sabtu,Workday,Clear,2.4243464,3.2418536000000002,40.0,0.17197,93,888,981
22,2011-01-23,Spring,2011,Januari,0,Minggu,Workday,Clear,3.9573897000000002,4.0524031,43.6522,0.2466,150,836,986
23,2011-01-24,Spring,2011,Januari,0,Senin,Holiday,Clear,3.9930433,4.8351299999999995,49.173899999999996,0.15833,86,1330,1416
24,2011-01-25,Spring,2011,Januari,0,Selasa,Holiday,Cloudy_Misty,9.162598000000001,9.615566000000001,61.695699999999995,0.129796,186,1799,1985
25,2011-01-26,Spring,2011,Januari,0,Rabu,Holiday,Light_rain_snow,8.9175,8.3476,86.25,0.29385,34,472,506
26,2011-01-27,Spring,2011,Januari,0,Kamis,Holiday,Clear,7.995,9.0077,68.75,0.113837,15,416,431
27,2011-01-28,Spring,2011,Januari,0,Jumat,Holiday,Cloudy_Misty,8.342597999999999,9.155997,79.30430000000001,0.1233,38,1129,1167
28,2011-01-29,Spring,2011,Januari,0,Sabtu,Workday,Clear,8.057402,8.697166000000001,65.17389999999999,0.145365,123,975,1098
29,2011-01-30,Spring,2011,Januari,0,Minggu,Workday,Clear,8.877402,10.263202,72.2174,0.0739826,140,956,1096
30,2011-01-31,Spring,2011,Januari,0,Senin,Holiday,Cloudy_Misty,7.414153,7.6362499999999995,60.375,0.187192,42,1459,1501
31,2011-02-01,Spring,2011,Februari,0,Selasa,Holiday,Cloudy_Misty,7.8791340000000005,9.61573,82.9565,0.053213,47,1313,1360
32,2011-02-02,Spring,2011,Februari,0,Rabu,Holiday,Cloudy_Misty,10.66,10.431097,77.5417,0.264308,72,1454,1526
33,2011-02-03,Spring,2011,Februari,0,Kamis,Holiday,Clear,7.665237,7.292998000000001,43.7826,0.277752,61,1489,1550
34,2011-02-04,Spring,2011,Februari,0,Jumat,Holiday,Cloudy_Misty,8.663464,9.372067000000001,58.521699999999996,0.127839,88,1620,1708
35,2011-02-05,Spring,2011,Februari,0,Sabtu,Workday,Cloudy_Misty,9.566653,9.965378,92.91669999999999,0.161079,100,905,1005
36,2011-02-06,Spring,2011,Februari,0,Minggu,Workday,Clear,11.719153,11.958511000000001,56.833299999999994,0.1418,354,1269,1623
37,2011-02-07,Spring,2011,Februari,0,Senin,Holiday,Clear,11.138347,12.449978,73.83330000000001,0.0454083,120,1592,1712
38,2011-02-08,Spring,2011,Februari,0,Selasa,Holiday,Clear,9.054153,8.128086,53.7917,0.36195,64,1466,1530
39,2011-02-09,Spring,2011,Februari,0,Rabu,Holiday,Cloudy_Misty,5.526102999999999,5.915603,49.4783,0.188839,53,1552,1605
40,2011-02-10,Spring,2011,Februari,0,Kamis,Holiday,Clear,5.918268,6.131467999999999,43.7391,0.221935,47,1491,1538
41,2011-02-11,Spring,2011,Februari,0,Jumat,Holiday,Clear,7.752731000000001,8.753869,50.6364,0.10855,149,1597,1746
42,2011-02-12,Spring,2011,Februari,0,Sabtu,Workday,Clear,9.1225,9.551114,54.4167,0.203367,288,1184,1472
43,2011-02-13,Spring,2011,Februari,0,Minggu,Workday,Clear,12.977402000000001,13.288632999999999,45.7391,0.260883,397,1192,1589
44,2011-02-14,Spring,2011,Februari,0,Senin,Holiday,Clear,17.015,16.332349999999998,37.583299999999994,0.417908,208,1705,1913
45,2011-02-15,Spring,2011,Februari,0,Selasa,Holiday,Clear,10.909567000000001,10.425234,31.434800000000003,0.291374,140,1675,1815
46,2011-02-16,Spring,2011,Februari,0,Rabu,Holiday,Clear,13.048701000000001,12.9642,42.3478,0.251791,218,1897,2115
47,2011-02-17,Spring,2011,Februari,0,Kamis,Holiday,Clear,17.869153,17.574977999999998,50.5,0.230104,259,2216,2475
48,2011-02-18,Spring,2011,Februari,0,Jumat,Holiday,Clear,21.388347,20.991303,51.6667,0.264925,579,2348,2927
49,2011-02-19,Spring,2011,Februari,0,Sabtu,Workday,Clear,16.365847,16.047563999999998,18.7917,0.507463,532,1103,1635
50,2011-02-20,Spring,2011,Februari,0,Minggu,Workday,Clear,11.693897,11.37053,40.7826,0.223235,639,1173,1812
51,2011-02-21,Spring,2011,Februari,1,Senin,Workday,Cloudy_Misty,12.436653000000002,11.647075000000001,60.5,0.307846,195,912,1107
52,2011-02-22,Spring,2011,Februari,0,Selasa,Holiday,Clear,7.471102,7.627353,57.7778,0.195683,74,1376,1450
53,2011-02-23,Spring,2011,Februari,0,Rabu,Holiday,Clear,9.091299,10.074397,42.3043,0.094113,139,1778,1917
54,2011-02-24,Spring,2011,Februari,0,Kamis,Holiday,Cloudy_Misty,12.121732000000002,11.856831,69.7391,0.250496,100,1707,1807
55,2011-02-25,Spring,2011,Februari,0,Jumat,Holiday,Cloudy_Misty,14.938268,14.368901000000001,71.2174,0.346539,120,1341,1461
56,2011-02-26,Spring,2011,Februari,0,Sabtu,Workday,Clear,11.5825,11.569872,53.7917,0.186571,424,1545,1969
57,2011-02-27,Spring,2011,Februari,0,Minggu,Workday,Clear,14.082598,14.395469,68.0,0.125248,694,1708,2402
58,2011-02-28,Spring,2011,Februari,0,Senin,Holiday,Cloudy_Misty,16.698193,16.404837999999998,87.63640000000001,0.289686,81,1365,1446
59,2011-03-01,Spring,2011,Maret,0,Selasa,Holiday,Clear,10.933347,10.819038999999998,53.5,0.216425,137,1714,1851
60,2011-03-02,Spring,2011,Maret,0,Rabu,Holiday,Clear,13.735000000000001,13.122911,44.9583,0.307833,231,1903,2134
61,2011-03-03,Spring,2011,Maret,0,Kamis,Holiday,Clear,8.131653,8.205453,31.833299999999998,0.225754,123,1562,1685
62,2011-03-04,Spring,2011,Maret,0,Jumat,Holiday,Cloudy_Misty,10.728347,10.482839,61.0417,0.203346,214,1730,1944
63,2011-03-05,Spring,2011,Maret,0,Sabtu,Workday,Cloudy_Misty,15.750846999999998,15.529938999999999,78.91669999999999,0.251871,640,1437,2077
64,2011-03-06,Spring,2011,Maret,0,Minggu,Workday,Cloudy_Misty,15.437402,15.016332,94.8261,0.343287,114,491,605
65,2011-03-07,Spring,2011,Maret,0,Senin,Holiday,Clear,10.731299,9.776901,55.1304,0.341352,244,1628,1872
66,2011-03-08,Spring,2011,Maret,0,Selasa,Holiday,Clear,11.9925,12.3984,42.0833,0.12065,316,1817,2133
67,2011-03-09,Spring,2011,Maret,0,Rabu,Holiday,Cloudy_Misty,12.129153,11.750927999999998,77.5417,0.22015,191,1700,1891
68,2011-03-10,Spring,2011,Maret,0,Kamis,Holiday,Light_rain_snow,15.952731,15.812388,0.0,0.261877,46,577,623
69,2011-03-11,Spring,2011,Maret,0,Jumat,Holiday,Cloudy_Misty,12.977402000000001,12.504999999999999,64.95649999999999,0.23297,247,1730,1977
70,2011-03-12,Spring,2011,Maret,0,Sabtu,Workday,Clear,13.495847,13.355749999999999,59.458299999999994,0.220775,724,1408,2132
71,2011-03-13,Spring,2011,Maret,0,Minggu,Workday,Clear,15.758268000000001,15.583731,52.73910000000001,0.270604,982,1435,2417
72,2011-03-14,Spring,2011,Maret,0,Senin,Holiday,Clear,13.333896999999999,13.612,49.695699999999995,0.136926,359,1687,2046
73,2011-03-15,Spring,2011,Maret,0,Selasa,Holiday,Cloudy_Misty,13.013031,13.045298,65.5652,0.184309,289,1767,2056
